# time X(m) Y(m) Z(m)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.999530612000000040e+00
3.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.041571428999999327e+00
6.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.041663265000000393e+00
9.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.041755101999999766e+00
1.200000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.041836735000000402e+00
1.500000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.041928571000000581e+00
1.800000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042020407999999954e+00
2.100000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042112245000000215e+00
2.400000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042204081999999588e+00
2.700000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042295917999999766e+00
3.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042377551000000402e+00
3.300000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042469387999999775e+00
3.600000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042561223999999953e+00
3.900000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042653061000000214e+00
4.200000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042469387999999775e+00
4.500000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042295917999999766e+00
4.800000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.042122448999999840e+00
5.100000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.041948979999999914e+00
5.400000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.041765306000000280e+00
5.700000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.041602040999999979e+00
6.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.041428570999999970e+00
6.300000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.041255102000000043e+00
6.600000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.041071428999999604e+00
6.900000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.040897958999999595e+00
7.200000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.040724489999999669e+00
7.500000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.040551019999999660e+00
7.800000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.040163265000000337e+00
8.100000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.039765306000000500e+00
8.400000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.039367346999999775e+00
8.700000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.038969387999999938e+00
9.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.038581632999999727e+00
9.300000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.038183672999999807e+00
9.600000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.037785713999999970e+00
9.900000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.037408163000000272e+00
1.020000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.037010203999999547e+00
1.050000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036612244999999710e+00
1.080000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036214285999999873e+00
1.110000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035826531000000550e+00
1.140000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035877551000000452e+00
1.170000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035918366999999840e+00
1.200000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035969387999999825e+00
1.230000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036010204000000101e+00
1.260000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036061224000000003e+00
1.290000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036091836999999849e+00
1.320000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036142856999999751e+00
1.350000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036183673000000027e+00
1.380000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036224490000000387e+00
1.410000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036275510000000288e+00
1.440000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036316326999999760e+00
1.470000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036367346999999661e+00
1.500000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036020407999999726e+00
1.530000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035693878000000012e+00
1.560000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035346939000000077e+00
1.590000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035000000000000142e+00
1.620000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.034663264999999832e+00
1.650000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.034326531000000493e+00
1.680000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.033979591999999670e+00
1.710000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.033642857000000248e+00
1.740000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.033295918000000313e+00
1.770000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.032959184000000086e+00
1.800000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.032622448999999776e+00
1.830000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.032275509999999841e+00
1.860000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.032591837000000012e+00
1.890000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.032908163000000101e+00
1.920000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.033224490000000273e+00
1.950000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.033540816000000362e+00
1.980000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.033867347000000159e+00
2.010000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.034173468999999734e+00
2.040000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.034500000000000419e+00
2.070000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.034816326999999703e+00
2.100000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035132652999999792e+00
2.130000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035448979999999963e+00
2.160000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035765306000000052e+00
2.190000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.036081633000000224e+00
2.220000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.035469388000000102e+00
2.250000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.034867346999999604e+00
2.280000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.034255101999999482e+00
2.310000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.033653060999999873e+00
2.340000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.033040816000000639e+00
2.370000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.032428571000000517e+00
2.400000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.031826531000000102e+00
2.430000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.031214285999999980e+00
2.460000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.030612245000000371e+00
2.490000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.030000000000000249e+00
2.520000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029387755000000126e+00
2.550000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028775510000000004e+00
2.580000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028948980000000013e+00
2.610000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029112245000000314e+00
2.640000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029285713999999352e+00
2.670000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029448979999999736e+00
2.700000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029612245000000037e+00
2.730000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029775510000000338e+00
2.760000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029948980000000347e+00
2.790000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.030112244999999760e+00
2.820000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.030285713999999686e+00
2.850000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.030448980000000070e+00
2.880000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.030612245000000371e+00
2.910000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.030775509999999784e+00
2.940000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.030510203999999597e+00
2.970000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.030255101999999923e+00
3.000000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029989796000000624e+00
3.030000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029724490000000436e+00
3.060000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029459183999999361e+00
3.090000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029183673000000354e+00
3.120000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028928571000000680e+00
3.150000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028663264999999605e+00
3.180000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028397958999999418e+00
3.210000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028132653000000118e+00
3.240000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.027867346999999931e+00
3.270000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.027602041000000632e+00
3.300000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.027806122000000322e+00
3.330000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028010204000000094e+00
3.360000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028214285999999866e+00
3.390000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028418366999999556e+00
3.420000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028622448999999328e+00
3.450000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.028816326999999475e+00
3.480000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029020408000000053e+00
3.510000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029224489999999825e+00
3.540000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029428571000000403e+00
3.570000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 5.029632653000000175e+00
